name,name_lower,firstinitial_lower,firstname_lower,lastname_lower,position_description,position_description_cleaned,value,birth_date,birth_year,birth_month,age,playing_country
Paul Dummett,paul dummett,p,paul,dummett,Centre-Back,Defender,4950000.0,1991-09-26,1991,9,28,Wales
Federico Fernández,federico fernandez,f,federico,fernandez,Centre-Back,Defender,4950000.0,1989-02-21,1989,2,31,Argentina
Ciaran Clark,ciaran clark,c,ciaran,clark,Centre-Back,Defender,4320000.0,1989-09-26,1989,9,30,Ireland
Florian Lejeune,florian lejeune,f,florian,lejeune,Centre-Back,Defender,4320000.0,1991-05-20,1991,5,29,France
Matt Ritchie,matt ritchie,m,matt,ritchie,Left-Back,Defender,8550000.0,1989-09-10,1989,9,30,Scotland
DeAndre Yedlin,deandre yedlin,d,deandre,yedlin,Right-Back,Defender,5850000.0,1993-07-09,1993,7,27,United States
Emil Krafth,emil krafth,e,emil,krafth,Right-Back,Defender,3600000.0,1994-08-02,1994,8,26,Sweden
Javier Manquillo,javier manquillo,j,javier,manquillo,Right-Back,Defender,3600000.0,1994-05-05,1994,5,26,Spain
Isaac Hayden,isaac hayden,i,isaac,hayden,Defensive Midfield,Midfielder,7200000.0,1995-03-22,1995,3,25,England
Matthew Longstaff,matthew longstaff,m,matthew,longstaff,Defensive Midfield,Midfielder,4500000.0,2000-03-21,2000,3,20,England
Sean Longstaff,sean longstaff,s,sean,longstaff,Central Midfield,Midfielder,15750000.0,1997-10-30,1997,10,22,England
Jonjo Shelvey,jonjo shelvey,j,jonjo,shelvey,Central Midfield,Midfielder,13050000.0,1992-02-27,1992,2,28,England
Jeff Hendrick,jeff hendrick,j,jeff,hendrick,Central Midfield,Midfielder,8100000.0,1992-01-31,1992,1,28,Ireland
Dan Barlaser,dan barlaser,d,dan,barlaser,Central Midfield,Midfielder,,1997-01-18,1997,1,23,England
Miguel Almirón,miguel almiron,m,miguel,almiron,Attacking Midfield,Midfielder,14400000.0,1994-02-10,1994,2,26,Paraguay
Henri Saivet,henri saivet,h,henri,saivet,Attacking Midfield,Midfielder,720000.0,1990-10-26,1990,10,29,Senegal
Allan Saint-Maximin,allan saint-maximin,a,allan,saint-maximin,Left Winger,Forward,25200000.0,1997-03-12,1997,3,23,France
Christian Atsu,christian atsu,c,christian,atsu,Left Winger,Forward,4320000.0,1992-01-10,1992,1,28,Ghana
Rolando Aarons,rolando aarons,r,rolando,aarons,Left Winger,Forward,360000.0,1995-11-16,1995,11,24,England
Jacob Murphy,jacob murphy,j,jacob,murphy,Right Winger,Forward,3150000.0,1995-02-24,1995,2,25,England
Joelinton,joelinton,j,joelinton,joelinton,Centre-Forward,Forward,18000000.0,1996-08-14,1996,8,24,Brazil
Dwight Gayle,dwight gayle,d,dwight,gayle,Centre-Forward,Forward,8550000.0,1990-10-17,1990,10,29,England
